date | value

2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1.2
2012-04-10 | 5
2010-07-15 | 10

2011-01-08 | 2
2011-01-05 | 4.5
2013-12-31 | 1

2000-01-01 | 5

2011-01-03 | -1
2011-01-03 | -42.5

2011-01-03 | 1001
2011-01-03 | 2147483648

2011-01-03 | 0
2011-01-03 | 1000

2011-01-03 |
2011-01-03 | abc
2011-01-03 | 12abc
2011-01-03 | 1.2.3

2011-13-01 | 5
2011-00-01 | 5
2011-01-32 | 5
2011-02-30 | 5
2011-04-31 | 5
2012-02-29 | 5
2011-02-29 | 5

2011/01/03 | 5
2011-1-03 | 5
11-01-03 | 5
20110103 | 5
abcd-ef-gh | 5

2001-42-42

2011-01-03|5
2011-01-03    |    5
   2011-01-03 | 5
2011-01-03 |     5

| 5
2011-01-03
|
